frame_id,strength,ssim
001-001_15173,0.0,1.0
001-001_15173,0.5,0.9877740212154662
001-001_15173,1.0,0.9672111291152848
001-001_15173,1.5,0.935862604255306
001-001_15173,2.0,0.8910940781514782
001-001_15385,0.0,1.0
001-001_15385,0.5,0.976409462802538
001-001_15385,1.0,0.9512892906532018
001-001_15385,1.5,0.9459309045322215
001-001_15385,2.0,0.9324268024528649
001-001_15818,0.0,1.0
001-001_15818,0.5,0.985967983297167
001-001_15818,1.0,0.9501099182095654
001-001_15818,1.5,0.944161253742576
001-001_15818,2.0,0.9342533151382226
001-001_16175,0.0,1.0
001-001_16175,0.5,0.9462091215095065
001-001_16175,1.0,0.9755058559712785
001-001_16175,1.5,0.9518724833369661
001-001_16175,2.0,0.9047883401396998
001-001_16186,0.0,1.0
001-001_16186,0.5,0.9631108205594652
001-001_16186,1.0,0.9430519400148577
001-001_16186,1.5,0.9326970166573461
001-001_16186,2.0,0.9106063474019652
001-001_16363,0.0,1.0
001-001_16363,0.5,0.9333600940360215
001-001_16363,1.0,0.8699887238606228
001-001_16363,1.5,0.8664420094064974
001-001_16363,2.0,0.8574129892483147
001-001_16473,0.0,1.0
001-001_16473,0.5,0.9516021253184938
001-001_16473,1.0,0.9369814928576679
001-001_16473,1.5,0.9354757326205052
001-001_16473,2.0,0.9344246632245528
001-001_16649,0.0,1.0
001-001_16649,0.5,0.948187851435377
001-001_16649,1.0,0.9671170050324277
001-001_16649,1.5,0.9701502429892158
001-001_16649,2.0,0.9701388423382586
001-001_16683,0.0,1.0
001-001_16683,0.5,0.9501149672845579
001-001_16683,1.0,0.974589002418636
001-001_16683,1.5,0.973201756819329
001-001_16683,2.0,0.9692317204356117
001-001_16708,0.0,1.0
001-001_16708,0.5,0.9550648195868429
001-001_16708,1.0,0.9768737730754354
001-001_16708,1.5,0.9800552740964232
001-001_16708,2.0,0.9762197514226884
001-001_16773,0.0,1.0
001-001_16773,0.5,0.9167921648360883
001-001_16773,1.0,0.91646815116467
001-001_16773,1.5,0.914407152244002
001-001_16773,2.0,0.910085244031136
001-001_16804,0.0,1.0
001-001_16804,0.5,0.9892566051941235
001-001_16804,1.0,0.962144591789164
001-001_16804,1.5,0.9566221250796048
001-001_16804,2.0,0.9423987998439876
001-001_17436,0.0,1.0
001-001_17436,0.5,0.9466405077153152
001-001_17436,1.0,0.962855092644428
001-001_17436,1.5,0.961379910960439
001-001_17436,2.0,0.9602469544817688
001-001_17444,0.0,1.0
001-001_17444,0.5,0.8494637500213977
001-001_17444,1.0,0.86478646479234
001-001_17444,1.5,0.8151632717775437
001-001_17444,2.0,0.7534270729472368
001-001_17489,0.0,1.0
001-001_17489,0.5,0.9788985225319123
001-001_17489,1.0,0.8988673902055142
001-001_17489,1.5,0.8906061184954179
001-001_17489,2.0,0.8787139565769625
001-001_17562,0.0,1.0
001-001_17562,0.5,0.9902909685046302
001-001_17562,1.0,0.9785868330833238
001-001_17562,1.5,0.9789141106183223
001-001_17562,2.0,0.9788362132963333
001-001_18285,0.0,1.0
001-001_18285,0.5,0.9407966931292792
001-001_18285,1.0,0.9517210870238717
001-001_18285,1.5,0.9468127043442564
001-001_18285,2.0,0.9404734872611689
001-001_18505,0.0,1.0
001-001_18505,0.5,0.9498552345830557
001-001_18505,1.0,0.9208612265309313
001-001_18505,1.5,0.8806968337886963
001-001_18505,2.0,0.8278483793410203
001-001_18733,0.0,1.0
001-001_18733,0.5,0.9701878071575217
001-001_18733,1.0,0.9275236851054268
001-001_18733,1.5,0.928957302615334
001-001_18733,2.0,0.9264615891218752
001-001_18787,0.0,1.0
001-001_18787,0.5,0.9602034172371207
001-001_18787,1.0,0.9783315560856968
001-001_18787,1.5,0.9840627542715418
001-001_18787,2.0,0.9867921663274869
001-001_19064,0.0,1.0
001-001_19064,0.5,0.9294515614891055
001-001_19064,1.0,0.9593141357570678
001-001_19064,1.5,0.9479572509622326
001-001_19064,2.0,0.9324264620553039
001-001_19151,0.0,1.0
001-001_19151,0.5,0.9910557704234975
001-001_19151,1.0,0.9812877425586494
001-001_19151,1.5,0.9530274626283534
001-001_19151,2.0,0.9052486524094887
001-001_19259,0.0,1.0
001-001_19259,0.5,0.9617553399511791
001-001_19259,1.0,0.948371579124778
001-001_19259,1.5,0.921051729266055
001-001_19259,2.0,0.8676911768721443
001-001_19397,0.0,1.0
001-001_19397,0.5,0.9335242487997362
001-001_19397,1.0,0.9362405394177793
001-001_19397,1.5,0.9252623228141842
001-001_19397,2.0,0.9124904528596668
001-001_19422,0.0,1.0
001-001_19422,0.5,0.955955936071824
001-001_19422,1.0,0.9502519240576782
001-001_19422,1.5,0.9464144843574681
001-001_19422,2.0,0.9409719634176192
001-001_19772,0.0,1.0
001-001_19772,0.5,0.9665720202810776
001-001_19772,1.0,0.851886451493055
001-001_19772,1.5,0.7915984927162638
001-001_19772,2.0,0.7465483181040886
001-001_20124,0.0,1.0
001-001_20124,0.5,0.9707526534405646
001-001_20124,1.0,0.8809276404717113
001-001_20124,1.5,0.8716318142462753
001-001_20124,2.0,0.8607644513329924
001-001_20236,0.0,1.0
001-001_20236,0.5,0.9686063326447982
001-001_20236,1.0,0.9501619792825996
001-001_20236,1.5,0.922591345941873
001-001_20236,2.0,0.8863702866123347
001-001_20335,0.0,1.0
001-001_20335,0.5,0.9027491180258641
001-001_20335,1.0,0.949374151387127
001-001_20335,1.5,0.9273299711295975
001-001_20335,2.0,0.9055120066529233
001-001_20398,0.0,1.0
001-001_20398,0.5,0.969268176498818
001-001_20398,1.0,0.9617733093928724
001-001_20398,1.5,0.9523435452268301
001-001_20398,2.0,0.9390471089854093
001-001_20483,0.0,1.0
001-001_20483,0.5,0.913027706231387
001-001_20483,1.0,0.9374249465138781
001-001_20483,1.5,0.9157124666075702
001-001_20483,2.0,0.8931665001607758
001-001_20564,0.0,1.0
001-001_20564,0.5,0.9690265548820297
001-001_20564,1.0,0.9062744295907286
001-001_20564,1.5,0.898835703065547
001-001_20564,2.0,0.8899798003693465
001-001_20613,0.0,1.0
001-001_20613,0.5,0.9226681540837971
001-001_20613,1.0,0.8786141814272398
001-001_20613,1.5,0.853621948283102
001-001_20613,2.0,0.8285758512875088
001-001_20951,0.0,1.0
001-001_20951,0.5,0.9669086571062196
001-001_20951,1.0,0.9130241697891729
001-001_20951,1.5,0.9059866014886352
001-001_20951,2.0,0.8952644868229014
001-001_21021,0.0,1.0
001-001_21021,0.5,0.9867161429333499
001-001_21021,1.0,0.9625208300297662
001-001_21021,1.5,0.9639025716241685
001-001_21021,2.0,0.9633565961995018
001-001_21466,0.0,1.0
001-001_21466,0.5,0.9581310146286223
001-001_21466,1.0,0.9210010784495051
001-001_21466,1.5,0.9130906862852902
001-001_21466,2.0,0.90002319889058
001-001_21689,0.0,1.0
001-001_21689,0.5,0.9543115282342064
001-001_21689,1.0,0.9216415941238488
001-001_21689,1.5,0.9263261361459021
001-001_21689,2.0,0.9349059735259663
001-001_21789,0.0,1.0
001-001_21789,0.5,0.9569903587353045
001-001_21789,1.0,0.9352341070822641
001-001_21789,1.5,0.92510358964464
001-001_21789,2.0,0.9057034738398534
001-001_22045,0.0,1.0
001-001_22045,0.5,0.9141418553628415
001-001_22045,1.0,0.928838447373844
001-001_22045,1.5,0.917649656700603
001-001_22045,2.0,0.9063305306471003
001-001_22268,0.0,1.0
001-001_22268,0.5,0.9794984159613573
001-001_22268,1.0,0.9782674647802829
001-001_22268,1.5,0.9606495601703674
001-001_22268,2.0,0.9357714788064039
001-001_22408,0.0,1.0
001-001_22408,0.5,0.9819196106726097
001-001_22408,1.0,0.9530358184433508
001-001_22408,1.5,0.9377578897469651
001-001_22408,2.0,0.921652978678793
001-001_22494,0.0,1.0
001-001_22494,0.5,0.9740829142361335
001-001_22494,1.0,0.8665367232919337
001-001_22494,1.5,0.827665827840004
001-001_22494,2.0,0.7844679970335295
001-001_22890,0.0,1.0
001-001_22890,0.5,0.9565103273612715
001-001_22890,1.0,0.9731647137790306
001-001_22890,1.5,0.9618039116645903
001-001_22890,2.0,0.9468746764103193
001-001_22963,0.0,1.0
001-001_22963,0.5,0.984096660220843
001-001_22963,1.0,0.9549506985698556
001-001_22963,1.5,0.9482119978618598
001-001_22963,2.0,0.9381003311112341
